OMIM.ID	UMLS.ID
OMIM:214150	C2931277
OMIM:214300	C0022738
OMIM:214400	C1859198
OMIM:214450	C1859194
OMIM:214500	C0007965
OMIM:214700	C0267662
OMIM:214800	C0265354
OMIM:214950	C1858328
OMIM:215045	C1859148
OMIM:215100	C0282529
OMIM:215100	C1859133
OMIM:215140	C1300226
OMIM:215300	C0008479
OMIM:215470	C1859093
OMIM:215700	C0751751
OMIM:216340	C1857663
OMIM:216360	C1857662
OMIM:216550	C0265223
OMIM:216900	C0152200
OMIM:217080	C2931074
OMIM:217085	C2931046
OMIM:217090	C0398621
OMIM:217090	C1274789
OMIM:217095	C1857586
OMIM:217095	C0041207
OMIM:217095	C0013069
OMIM:217400	C1857572
OMIM:217700	C1857569
OMIM:217800	C0024439
OMIM:218000	C0795950
OMIM:218030	C0342488
OMIM:218040	C0587248
OMIM:218330	C0432235
OMIM:218340	C1857512
OMIM:218600	C0265308
OMIM:218700	C0266283
OMIM:218700	C0151516
OMIM:218800	C0010324
OMIM:218800	C2931131
OMIM:219000	C0265233
OMIM:219090	C0221406
OMIM:219100	C0432336
OMIM:219200	C0268355
OMIM:219500	C0220993
OMIM:219700	C0010674
OMIM:219730	C1857423
OMIM:219750	C2931013
OMIM:219800	C0010690
OMIM:219800	C3537440
OMIM:219900	C0268626
OMIM:220100	C0010691
OMIM:220100	C1857389
OMIM:220100	C1857388
OMIM:220110	C0268237
OMIM:220111	C1857355
OMIM:220120	C1291386
OMIM:220400	C0022387
OMIM:220600	C1857344
OMIM:221770	C1857316
OMIM:221820	C3711381
OMIM:222300	C0043207
OMIM:222448	C1857277
OMIM:222470	C1857276
OMIM:222600	C0220726
OMIM:222700	C0268647
OMIM:222748	C0342803
OMIM:222765	C1857242
OMIM:222900	C1283620
OMIM:223000	C0268179
OMIM:223360	C0342687
OMIM:223800	C0265286
OMIM:223900	C0013364
OMIM:224050	C0394006
OMIM:224100	C1306589
OMIM:224120	C0271933
OMIM:224690	C1868684
OMIM:224750	C1857069
OMIM:224900	C0406702
OMIM:225060	C0008924
OMIM:225060	C0158646
OMIM:225060	C1298692
OMIM:225060	C2931488
OMIM:225280	C1857041
OMIM:225320	C1857034
OMIM:225400	C0268342
OMIM:225410	C2700425
OMIM:225500	C0013903
OMIM:225750	C0393591
OMIM:225753	C1856974
OMIM:225790	C3203738
OMIM:226200	C0268416
OMIM:226400	C0014522
OMIM:226650	C0268374
OMIM:226650	C2673609
OMIM:226670	C2931072
OMIM:226700	C0079683
OMIM:226730	C1856934
OMIM:226750	C0406740
OMIM:226900	C1847593
OMIM:226980	C0432217
OMIM:227260	C1744559
OMIM:227300	C1856883
OMIM:227400	C0015499
OMIM:227500	C0015503
OMIM:227600	C0015519
OMIM:227650	C0015625
OMIM:227810	C3495427
OMIM:228000	C0268255
OMIM:228520	C0265282
OMIM:228550	C0432284
OMIM:228600	C0406578
OMIM:228900	C1856738
OMIM:228930	C1856728
OMIM:229050	C0342705
OMIM:229070	C1856716
OMIM:229100	C0268609
OMIM:229200	C0268344
OMIM:229300	C0016719
OMIM:229600	C0016751
OMIM:229700	C0016756
OMIM:230000	C0016788
OMIM:230200	C0268155
OMIM:230350	C0751161
OMIM:230400	C0016952
OMIM:230400	C0268151
OMIM:230450	C1856603
OMIM:230500	C0085131
OMIM:230600	C0268272
OMIM:230650	C0268273
OMIM:230740	C0406723
OMIM:230800	C1961835
OMIM:230900	C0268250
OMIM:231000	C0268251
OMIM:231005	C2931585
OMIM:231050	C3489726
OMIM:231070	C0432255
OMIM:231090	C0678213
OMIM:231090	C0020217
OMIM:231095	C1856465
OMIM:231200	C0005129
OMIM:231300	C0020302
OMIM:231300	C2981140
OMIM:231530	C1291230
OMIM:231550	C0271742
OMIM:231550	C2931084
OMIM:231670	C0268595
OMIM:231680	C0268596
OMIM:231690	C0342873
OMIM:231900	C1856399
OMIM:232200	C0017920
OMIM:232200	C2919796
OMIM:232220	C0268146
OMIM:232300	C0017921
OMIM:232400	C0017922
OMIM:232500	C0017923
OMIM:232500	C1856305
OMIM:232500	C1856304
OMIM:232500	C0017922
OMIM:232500	C1856303
OMIM:232600	C0017924
OMIM:232700	C0017925
OMIM:232800	C0017926
OMIM:233100	C0017980
OMIM:233300	C0685837
OMIM:233400	C0685838
OMIM:233650	C2673536
OMIM:233910	C0268467
OMIM:234000	C0015526
OMIM:234050	C3495483
OMIM:234050	C1955934
OMIM:234200	C0018523
OMIM:234500	C0018609
OMIM:234580	C1856186
OMIM:234810	C0340548
OMIM:235550	C1856128
OMIM:235555	C1856127
OMIM:235730	C1856113
OMIM:236200	C0751202
OMIM:236250	C1856061
OMIM:236270	C1856057
OMIM:236600	C0020256
OMIM:236670	C0457133
